task,category,condition,agent_id,n_files,core_recall,precision,f1,judge,Q,confidence,cost_usd,turns,n_calls,out_tok,doc_chars,files_read
P3,perf,M-feature,a0477ae6d2bb72420,11,1.0,0.818,0.9,9,0.934,4,0.4983,17,26,10747,19638,6
P3,perf,M-feature,a239675d0fc5c1196,10,1.0,0.9,0.947,9,0.95,4,0.7079,23,33,14905,19638,9
P3,perf,C1,a12160249556bc69a,10,0.8,0.8,0.8,8,0.8,4,0.7931,23,35,21985,28643,7
P3,perf,C1,af5e2dc6b5591e965,12,0.8,0.667,0.727,7,0.743,4,0.7335,26,46,13588,12137,8
P3,perf,M-folder,a47853f086af4ba61,11,1.0,0.909,0.952,9,0.952,4,0.9925,29,43,21655,19487,11
P3,perf,M-folder,aadfb1755929b693b,11,1.0,0.909,0.952,9,0.952,4,0.6483,16,27,16504,19487,8
P3,perf,M-symbols,a4c80d381a6209355,10,0.8,0.7,0.747,6,0.72,4,0.8468,34,39,16149,22917,8
P3,perf,M-symbols,a8369141404bfac58,10,0.8,0.8,0.8,7,0.77,4,1.1803,36,41,27873,22917,7
P3,perf,C0,a6d8eef98a66733aa,9,0.8,0.778,0.789,6,0.736,4,1.0709,39,49,20498,0,11
P3,perf,C0,ade9aac869babcdbd,9,0.8,0.889,0.842,6,0.758,4,0.653,18,29,12149,0,10
P3,perf,M-playbook,a723a1a8479679786,9,1.0,1.0,1.0,9,0.97,4,0.5062,17,30,11196,13750,5
P3,perf,M-playbook,aa832c25144fa7e35,11,1.0,0.727,0.842,9,0.915,4,0.7502,26,43,16560,13750,11
F2,feature,M-symbols,a017462730bc61acd,7,1.0,1.0,1.0,9,0.97,4,0.3759,14,21,6726,22917,6
F2,feature,M-symbols,a9248a6924afb1f95,8,1.0,0.875,0.933,9,0.945,4,0.4907,23,29,8790,22917,6
F2,feature,C0,a1b4e78dd6f1fe166,8,1.0,1.0,1.0,8,0.94,4,0.3464,14,22,7715,0,6
F2,feature,C0,a5804a9c21004af40,7,1.0,1.0,1.0,9,0.97,4,0.6474,37,37,11669,0,7
F2,feature,M-feature,a1cfb7b0f96605d9f,9,1.0,0.889,0.941,8,0.918,4,0.5487,23,30,11310,19638,7
F2,feature,M-feature,a95762a770264e048,9,1.0,1.0,1.0,9,0.97,4,0.3207,13,22,8637,19638,6
F2,feature,M-playbook,a28e6eacb110599d5,8,1.0,0.875,0.933,8,0.915,4,0.3648,16,22,7552,13750,7
